amount,name,image_url,details_url,registered_state,registered_city,make,model,year_of_manufacture,color,condition,mileage,engine_size,selling_condition,bought_condition,transmission_system
5625000,Honda Accord 2005 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163539210_MTgwLTEzNi0yZDdlYzdkYjI1.jpg,https://www.cars45.com/jEY4wdZq42GdKSZcHgGMksinsFamPVN,Abuja (FCT),Asokoro,Honda,Accord,2005.0,Gray,Local Used,335366.0,2400.0,Registered,Imported,Automatic
3937500,Toyota Camry 2003 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548856_MTgwLTEzNS1jMWFmNTA5ZWM4.jpg,https://www.cars45.com/jlCs49Q2wPi0idCMBafhV5eEwhVZdD,Abuja (FCT),Karu,Toyota,Camry,2003.0,Black,Local Used,236553.0,2400.0,Registered,Registered,Automatic
29250000,Honda Accord 2018 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163534100_MTgwLTEzNi0zMjQ2ZGIxNTNmLTE.jpg,https://www.cars45.com/jEY4wdZQ6ZoA7mU5PsvWQTB2jkK7aYy,Abuja (FCT),Central Business District,Honda,Accord,2018.0,Black,Foreign Used,233761.0,1500.0,Imported,Imported,CVT
5400000,Toyota Camry 2005 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548728_MTgwLTEwMS0zNjRkNmY0Yjgz.jpg,https://www.cars45.com/jEY4wdZSbJywVIQRqUoTag6Ogf1ysYt,Lagos State,Alimosho,Toyota,Camry,2005.0,Silver,Local Used,179422.0,2400.0,Registered,Imported,Automatic
11250000,Ford Edge 2014 Red,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163586247_MTgwLTEzNS0xYzVkMzYzZjNm.jpg,https://www.cars45.com/jEY4wdZdEvAF5telsH1YsHiS8dAc7kZ,Lagos State,Ikeja,Ford,Edge,2014.0,Red,Local Used,237776.0,3500.0,Registered,Imported,Automatic
6187500,Infiniti FX35 2009 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163583903_MTgwLTEzNS1iMmRjMmE2ZDU3LTE.jpg,https://www.cars45.com/jEY4wdZyrZowXogfKCOEEneDRnApyrr,Abuja (FCT),Lugbe District,Infiniti,FX35,2009.0,Black,Local Used,158919.0,3500.0,Registered,Registered,Automatic
12150000,Mercedes-Benz E350 2013 White,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163593771_MTgwLTEzNi0wNDQ0YjgxNTIzLTE.jpg,https://www.cars45.com/jEY4we004W9a8ub2LeLyPHcEhjdG7QK,Abuja (FCT),Lugbe District,Mercedes-Benz,E350,2013.0,White,Local Used,212745.0,3500.0,Registered,Registered,Automatic
10125000,Ford Flex 2009 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163546072_MTgwLTEzNS03ZTFjZmUwODVkLTM.jpg,https://www.cars45.com/jEY4wdZQ1SU3gqixpkD4hilUTCeH35f,Lagos State,Amuwo-Odofin,Ford,Flex,2009.0,Blue,Local Used,318712.0,3500.0,Registered,Imported,Automatic
5287500,Toyota Corolla 2004 Gold,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163593408_MTgwLTEzNS04ODM0M2NkZTg5.jpg,https://www.cars45.com/jEY4wdZXU1Rkq7q14AGt84O1lAWGNn9,Edo State,Benin City,Toyota,Corolla,2004.0,Gold,Local Used,280663.0,1800.0,Registered,Registered,Automatic
5793750,Toyota Solara 2009 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163591666_MTgwLTEzNS04M2U0N2ZmNTM1LTM.jpg,https://www.cars45.com/jEY4wdZjVLKR5bWVpofDbX9yyvJPwkM,Lagos State,Lekki,Toyota,Solara,2009.0,Black,Local Used,175122.0,3300.0,Registered,Imported,Automatic
