amount,name,region,condition,mileage,image_url,details_url
9900000,Toyota Camry 2012 Silver,"Abuja (FCT), Gudu",Local Used,277732 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163596202_MTgwLTEzNi1jMWY0YThjYTJmLTE.jpg,https://www.cars45.com/jEY4wdZkg6d6zmX2l0CCu7F01wsBLcS
9000000,Acura MDX 2010 Black,"Edo State, Benin City",Local Used,129266 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163658039_MTgwLTEzNS1iODg1MjhlMzY1.jpg,https://www.cars45.com/jEY4wdZJ02XxUk0nNQsvsciMTlxlL43
2250000,Toyota Camry 2000 Gold,"Abuja (FCT), Karu",Local Used,219437 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163590431_MTgwLTEzNS02NjM0OWZiOGIxLTE.jpg,https://www.cars45.com/jEY4wdZtbjcaGUQ5PQRj4uszmBzc74y
65250000,Toyota Tundra 2014 Black,"Enugu State, Enugu",Foreign Used,61853 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163646285_MTgwLTEwMS01MGYzMGE1NzNj.jpg,https://www.cars45.com/jEY4wdZbPJ6PxkzlJp2GSOP2YUCPPv7
3375000,Lexus RX 300 2000 Black,"Lagos State, Isolo",Local Used,252803 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163588201_MTgwLTEzNS1hNGI1MzEyODFlLTE.jpg,https://www.cars45.com/jEY4wdZMxG16uFCDlVLDrNzXimbzpel
18000000,Nissan Sentra 2018 Black,"Lagos State, Alimosho",Foreign Used,402260 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163584929_MTgwLTEzNS1iMzZiNmZlNGEzLTE.jpg,https://www.cars45.com/jEY4wdZPeTbp93yOkro6idJl13UGOvr
9000000,Lexus GS 2007 Black,"Rivers State, Port-Harcourt",Local Used,Local Used,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163604153_MTgwLTEzNi1kNzVmNzhhOTQ3.jpg,https://www.cars45.com/jEY4wdZTuo3BPCI5jD0L9mHQSEw3zZp
7875000,Toyota Camry 2008 Silver,"Ogun State, Abeokuta North",Local Used,355002 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163596236_MTgwLTEzNS0zMTJmNmMzYjY4.jpg,https://www.cars45.com/jEY4wdZT4nb7qDHrRKRa6ZcERYmjteD
4828500,Toyota Highlander Limited V6 FWD 2003 Black,"Abuja (FCT), Karu",Local Used,293412 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548118_MTgwLTEzNS0xZjlkYWI2YmYwLTE.jpg,https://www.cars45.com/jEY4wdZyQIpHDyu3c1VK7OGid7Mrb1q
3375000,Toyota Camry 2002 Gray,"Imo State, Owerri",Local Used,289588 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163565240_MTgwLTEzNi0xMTdlNTQwMzMz.jpg,https://www.cars45.com/jEY4wdZHDRQqltML5QJYkSeKPbuBVad
5625000,Lexus RX 1999 White,"Abuja (FCT), Kubwa",Local Used,120028 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163529966_MTgwLTEzNS0zM2FkNjJhZDc5.jpg,https://www.cars45.com/jEY4wdZQhaExA4dgIPaG1oTTnmIGZ0z
18562500,Lexus RX 350 2010 White,"Lagos State, Yaba",Local Used,187058 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163479547_MTgwLTEzNS1jODY5MjU0ODdh.jpg,https://www.cars45.com/jlCs49PYJytqmFtMECQ3gp5SiFlDde
16875000,Lexus LS 2009 Blue,"Lagos State, Lekki",Local Used,90117 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163503573_MTgwLTEzNS03MmJiZTcyODg2.jpg,https://www.cars45.com/jEY4wdZmF5maGg0mmTRqfANik3FMFfM
5625000,Honda Accord 2005 Gray,"Abuja (FCT), Asokoro",Local Used,335366 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163539210_MTgwLTEzNi0yZDdlYzdkYjI1.jpg,https://www.cars45.com/jEY4wdZq42GdKSZcHgGMksinsFamPVN
3937500,Toyota Camry 2003 Black,"Abuja (FCT), Karu",Local Used,236553 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548856_MTgwLTEzNS1jMWFmNTA5ZWM4.jpg,https://www.cars45.com/jlCs49Q2wPi0idCMBafhV5eEwhVZdD
29250000,Honda Accord 2018 Black,"Abuja (FCT), Central Business District",Foreign Used,233761 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163534100_MTgwLTEzNi0zMjQ2ZGIxNTNmLTE.jpg,https://www.cars45.com/jEY4wdZQ6ZoA7mU5PsvWQTB2jkK7aYy
5400000,Toyota Camry 2005 Silver,"Lagos State, Alimosho",Local Used,179422 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548728_MTgwLTEwMS0zNjRkNmY0Yjgz.jpg,https://www.cars45.com/jEY4wdZSbJywVIQRqUoTag6Ogf1ysYt
11250000,Ford Edge 2014 Red,"Lagos State, Ikeja",Local Used,237776 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163586247_MTgwLTEzNS0xYzVkMzYzZjNm.jpg,https://www.cars45.com/jEY4wdZdEvAF5telsH1YsHiS8dAc7kZ
6187500,Infiniti FX35 2009 Black,"Abuja (FCT), Lugbe District",Local Used,158919 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163583903_MTgwLTEzNS1iMmRjMmE2ZDU3LTE.jpg,https://www.cars45.com/jEY4wdZyrZowXogfKCOEEneDRnApyrr
12150000,Mercedes-Benz E350 2013 White,"Abuja (FCT), Lugbe District",Local Used,212745 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163593771_MTgwLTEzNi0wNDQ0YjgxNTIzLTE.jpg,https://www.cars45.com/jEY4we004W9a8ub2LeLyPHcEhjdG7QK
10125000,Ford Flex 2009 Blue,"Lagos State, Amuwo-Odofin",Local Used,318712 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163546072_MTgwLTEzNS03ZTFjZmUwODVkLTM.jpg,https://www.cars45.com/jEY4wdZQ1SU3gqixpkD4hilUTCeH35f
5287500,Toyota Corolla 2004 Gold,"Edo State, Benin City",Local Used,280663 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163593408_MTgwLTEzNS04ODM0M2NkZTg5.jpg,https://www.cars45.com/jEY4wdZXU1Rkq7q14AGt84O1lAWGNn9
5793750,Toyota Solara 2009 Black,"Lagos State, Lekki",Local Used,175122 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163591666_MTgwLTEzNS04M2U0N2ZmNTM1LTM.jpg,https://www.cars45.com/jEY4wdZjVLKR5bWVpofDbX9yyvJPwkM
